- розумієте, людина не скаже вам, шо вона була в стані шоку та заціпеніння і її організм повів себе непередбачувано для неї самої.  Вона скаже: "Я чуть не вср@лася від страху".   Лекція "Травматична криза: перша допомога і самодопомога"
RT @madstrekoza: Ці росіяни ще не розуміють наскільки їм повезло, що вони застрягли далеко за межами РФ і не можуть туди повернутись... Бо…
Ну бо винен жеж путін. Та й я помітив йобані росіяни взагалі блять себе не асоціють зі своєю державою. В них криза ідентичності https://t.co/1jU7zrfLxL
Ці росіяни ще не розуміють наскільки їм повезло, що вони застрягли далеко за межами РФ і не можуть туди повернутись... Бо невдовзі ніхто з РФ не зможе нікуди виїхати, а продовольча криза змусить росіян жерти свої лапті. Та й таке... https://t.co/br9lwL2JVD
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
@jolud13 @DidMykola2 @bander1953 Захід найбільше цього і боїться,бо на їх думку 8000 ядерних боєголовок моди опинитись у незрозуміло в кого. Плюс гуманітарна криза та кількість біженців може стати безпрецедентною.
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
RT @kalinizaurus: Друзі, в нас тут міжнародне автомобільне видання трохи не може розібратися то криза в нас чи війна - може допоможемо?
